SenJohnBarrasso,John,Barrasso,N00006236
SenatorEnzi,Mike,Enzi,N00006249
SenRonJohnson,Ron,Johnson,N00032546
SenatorBaldwin,Tammy,Baldwin,N00004367
SenCapito,Shelley Moore,Capito,N00009771
SenatorCantwell,Maria,Cantwell,N00007836
PattyMurray,Patty,Murray,N00007876
MarkWarner,Mark,Warner,N00002097
timkaine,Tim,Kaine,N00033177
SenSanders,Bernie,Sanders,N00000528
SenatorLeahy,Patrick,Leahy,N00009918
SenMikeLee,Mike,Lee,N00031696
senorrinhatch,Orrin,Hatch,N00009869
SenTedCruz,Ted,Cruz,N00033085
JohnCornyn,John,Cornyn,N00024852
BobCorker,Bob,Corker,N00027441
SenAlexander,Lamar,Alexander,N00009888
SenJohnThune,John,Thune,N00004572
SenatorTimScott,Tim,Scott,N00031782
GrahamBlog,Lindsey,Graham,N00009975
SenWhitehouse,Sheldon,Whitehouse,N00027533
SenJackReed,Jack,Reed,N00000362
SenToomey,Pat,Toomey,N00001489
SenBobCasey,Bob,Casey,N00027503
SenJeffMerkley,Jeff,Merkley,N00029303
RonWyden,Ron,Wyden,N00007724
SenatorLankford,James,Lankford,N00031129
JimInhofe,Jim,Inhofe,N00005582
senrobportman,Rob,Portman,N00003682
SenSherrodBrown,Sherrod,Brown,N00003535
SenJohnHoeven,John,Hoeven,N00031688
SenatorHeitkamp,Heidi,Heitkamp,N00033782
SenThomTillis,Thom,Tillis,N00035492
SenatorBurr,Richard,Burr,N00002221
SenGillibrand,Kirsten,Gillibrand,N00027658
SenSchumer,Chuck,Schumer,N00001093
SenatorTomUdall,Tom,Udall,N00006561
MartinHeinrich,Martin,Heinrich,N00029835
SenatorMenendez,Bob,Menendez,N00000699
CoryBooker,Cory,Booker,N00035267
SenatorHassan,Maggie,Hassan,N00038397
SenatorShaheen,Jeanne,Shaheen,N00024790
SenDeanHeller,Dean,Heller,N00027522
SenCortezMasto,Cortez,Masto,N00037161
BenSasse,Ben,Sasse,N00035544
SenatorFischer,Deb,Fischer,N00033443
SenatorTester,Jon,Tester,N00027605
SteveDaines,Steve,Daines,N00033054
RoyBlunt,Roy,Blunt,N00005195
clairecmc,Claire,McCaskill,N00027694
SenatorWicker,Roger,Wicker,N00003280
SenThadCochran,Thad,Cochran,N00003328
SenTinaSmith,Tina,Smith,N00042353
amyklobuchar,Amy,Klobuchar,N00027500
SenStabenow,Debbie,Stabenow,N00004118
SenGaryPeters,Gary,Peters,N00029277
SenWarren,Elizabeth,Warren,N00033492
SenMarkey,Ed,Markey,N00000270
SenatorCardin,Ben,Cardin,N00001955
ChrisVanHollen,Chris,Van Hollen,N00013820
SenatorCollins,Susan,Collins,N00000491
SenAngusKing,Angus,King,N00034580
SenJohnKennedy,John,Kennedy,N00026823
BillCassidy,Bill,Cassidy,N00030245
RandPaul,Rand,Paul,N00030836
SenateMajLdr,Mitch,McConnell,N00003389
JerryMoran,Jerry,Moran,N00005282
SenPatRoberts,Pat,Roberts,N00005285
joniernst,Joni,Ernst,N00035483
ChuckGrassley,Chuck,Grassley,N00001758
SenToddYoung,Todd,Young,N00030670
SenDonnelly,Joe,Donnelly,N00026586
SenatorDurbin,Dick,Durbin,N00004981
SenDuckworth,Tammy,Duckworth,N00027860
SenatorRisch,Jim,Risch,N00029441
MikeCrapo,Mike,Crapo,N00006267
maziehirono,Mazie,Hirono,N00028139
brianschatz,Brian,Schatz,N00028138
SenatorIsakson,Johnny,Isakson,N00002593
sendavidperdue,David,Perdue,N00035516
marcorubio,Marco,Rubio,N00030612
SenBillNelson,Bill,Nelson,N00009926
ChrisCoons,Chris,Coons,N00031820
SenatorCarper,Tom,Carper,N00012508
SenBlumenthal,Richard,Blumenthal,N00031685
ChrisMurphyCT,Chris,Murphy,N00027566
SenCoryGardner,Cory,Gardner,N00030780
SenBennetCO,Michael,Bennet,N00030608
SenKamalaHarris,Kamala,Harris,N00036915
SenFeinstein,Dianne,Feinstein,N00007364
JohnBoozman,John,Boozman,N00013873
SenTomCotton,Tom,Cotton,N00033363
JeffFlake,Jeff,Flake,N00009573
SenJohnMcCain,John,McCain,N00006424
SenDanSullivan,Dan,Sullivan,N00035774
lisamurkowski,Lisa,Murkowski,N00026050
SenShelby,Richard,Shelby,N00009920
